Application,Pointers,Void Pointers,Uninitialized Pointers,Smart Pointers,Mallocs,Frees,Implicit Casts from Malloc,Unsafe Functions,Unsafe Casts,Construct from Implicit Cast,Unions,Ref Class Members,Ref Returns,Ref Const Returns,Ref to Deref,Address of Array,2D Arrays
,,,,,,,,,,,,,,,,,
fmt,1161,78,748,0,0,0,0,23,314,2468,16,170,219,47,0,12,0
,690,41,425,0,0,0,0,12,257,1970,8,165,136,24,0,6,0
,471,37,323,0,0,0,0,11,57,498,8,5,83,23,0,6,0
,,,,,,,,,,,,,,,,,
gtest,1925,99,1595,23,0,1,0,22,25,1402,16,13,484,75,14,0,0
,,,,,,,,,,,,,,,,,
folly,134334,37100,117271,502,557,574,137,1662,1100662,17962,1409,1338,36867,7420,719,712,1334
,15,2,11,0,0,0,0,0,2,6,0,0,0,0,0,0,0
,50,14,49,0,0,0,0,0,0,1,2,0,18,7,0,0,0
,10,4,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,115,30,97,0,0,0,0,1,14,0,2,0,14,6,0,0,0
,258,48,234,0,2,1,1,3,15,0,1,1,69,7,0,0,0
,32,15,32,0,0,0,0,0,1,1,0,0,7,4,0,0,0
,662,143,552,0,7,12,0,20,1558,0,0,0,0,0,0,31,113
,71,18,68,0,0,0,0,0,11,0,0,0,20,8,0,0,4
,52,18,46,0,0,0,0,0,5,3,2,0,18,3,6,0,0
,143,43,137,0,0,0,0,0,10,6,0,3,17,9,0,2,0
,95,38,88,0,0,0,0,0,2,2,2,0,16,4,6,0,0
,60,19,48,0,0,0,0,0,5,7,4,0,35,7,6,0,0
,67,7,67,0,1,1,0,0,903,0,0,0,0,0,0,0,0
,343,48,297,1,2,1,1,3,21,11,2,5,82,15,0,0,0
,200,62,161,0,2,3,0,1,22,1,2,0,27,9,0,2,5
,315,48,278,0,2,1,1,5,29,19,5,1,151,27,0,0,10
,18,10,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0
,300,48,270,0,2,1,1,5,29,21,5,2,151,27,0,0,0
,328,54,293,0,2,1,1,5,29,19,5,3,156,31,0,1,0
,240,66,188,0,2,3,0,1,34,12,4,4,50,12,6,2,5
,102,19,99,0,1,1,0,0,1183,4,1,0,0,1,0,0,0
,130,35,111,0,0,0,0,1,12,2,2,3,15,7,0,0,0
,47,16,47,0,0,0,0,0,0,5,0,0,1,0,0,0,0
,358,56,322,0,2,1,1,6,36,33,5,7,156,29,0,1,3
,399,60,353,0,2,1,1,10,41,82,12,11,177,47,0,1,11
,463,64,405,1,2,1,1,7,36,53,6,12,179,50,0,3,11
,347,54,311,0,2,1,1,8,29,25,5,9,162,42,0,1,12
,396,60,352,0,2,1,1,10,40,52,12,11,173,45,0,3,11
,374,60,338,0,2,1,1,8,29,45,7,9,170,42,0,1,11
,182,30,172,0,1,1,0,0,1190,5,1,0,17,11,0,0,0
,33,10,26,0,0,0,0,0,2,13,0,0,0,1,0,0,1
,404,60,355,0,2,1,1,10,49,65,13,12,174,45,0,2,14
,38,15,29,0,0,0,0,0,0,0,2,1,13,3,1,0,0
,417,80,353,0,4,4,1,7,33,43,7,9,169,47,1,4,18
,648,122,526,1,4,5,1,7,57,69,11,10,235,45,6,4,5
,27,13,27,0,0,0,0,0,0,33,0,0,6,0,0,0,0
